"id","ts","temp_c","led_on","raw_adc","v_volts","rt_kohm","device_id","source"
"1690","2025-11-14 11:10:58.155407-03","23.290",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1689","2025-11-14 11:10:48.144606-03","23.120",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1688","2025-11-14 11:10:38.131694-03","23.120",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1687","2025-11-14 11:10:28.120069-03","23.030",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1686","2025-11-14 11:10:18.106536-03","22.940",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1685","2025-11-14 11:10:08.102777-03","23.030",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1684","2025-11-14 11:09:58.083965-03","23.030",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1683","2025-11-14 11:09:48.079207-03","22.950",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1682","2025-11-14 11:09:38.063634-03","22.940",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1681","2025-11-14 11:09:28.057825-03","22.940",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1680","2025-11-14 11:09:18.042559-03","22.940",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1679","2025-11-14 11:09:08.037008-03","22.840",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1678","2025-11-14 11:08:58.02732-03","22.860",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1677","2025-11-14 11:08:48.017731-03","22.940",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1676","2025-11-14 11:08:38.008138-03","22.940",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1675","2025-11-14 11:08:27.997013-03","22.980",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1674","2025-11-14 11:08:17.985815-03","23.030",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1673","2025-11-14 11:08:07.975511-03","22.940",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1672","2025-11-14 11:07:57.964534-03","22.770",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1671","2025-11-14 11:07:47.954669-03","22.680",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1670","2025-11-14 11:07:37.943892-03","22.940",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1669","2025-11-14 11:07:27.934533-03","23.120",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1668","2025-11-14 11:07:17.923167-03","23.050",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1667","2025-11-14 11:07:07.912361-03","23.050",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1666","2025-11-14 11:06:57.90131-03","23.030",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1665","2025-11-14 11:06:47.89104-03","22.940",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1664","2025-11-14 11:06:37.880148-03","23.030",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1663","2025-11-14 11:06:27.870469-03","23.120",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1662","2025-11-14 11:06:17.859423-03","23.210",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1661","2025-11-14 11:06:07.848849-03","23.120",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1660","2025-11-14 11:05:57.837744-03","22.990",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1659","2025-11-14 11:05:47.828092-03","23.030",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1658","2025-11-14 11:05:37.81671-03","23.030",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1657","2025-11-14 11:05:27.808573-03","23.080",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1656","2025-11-14 11:05:17.796401-03","23.090",False,NULL,NULL,NULL,"esp8266-d2","serial"
